"all_quant[, 1]","prot_descr[all_quant[, 1], 2]","SIN_12500amol_1","SIN_12500amol_2","SIN_12500amol_3","SIN_125amol_1","SIN_125amol_2","SIN_125amol_3","SIN_25000amol_1","SIN_25000amol_2","SIN_25000amol_3","SIN_2500amol_1","SIN_2500amol_2","SIN_2500amol_3","SIN_250amol_1","SIN_250amol_2","SIN_250amol_3","SIN_50000amol_1","SIN_50000amol_2","SIN_50000amol_3","SIN_5000amol_1","SIN_5000amol_2","SIN_5000amol_3","SIN_500amol_1","SIN_500amol_2","SIN_500amol_3","SIN_50amol_1","SIN_50amol_2","SIN_50amol_3"
"sp|P20081|FKBP_YEAST","Peroxiredoxin AHP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=AHP1 PE=1 SV=4",-18.4119,-16.3852,-18.1374,-17.2178,-17.1396,-18.4344,-16.9249,-16.7494,-17.0905,-16.0696,-16.9459,-19.1462,-19.3651,-18.221,-18.2958,-16.7643,-18.4155,-19.159,-16.8594,-16.0025,-16.7572,-18.4108,-17.4217,-18.1776,-15.3541,-17.2055,-16.7926
"sp|P20107|ZRC1_YEAST","60S ribosomal protein L32 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RPL32 PE=1 SV=1",-22.4024,-24.7058,-22.819,NA,-25.0704,NA,-24.1581,NA,-24.0165,-23.4004,-24.7118,-22.9583,-22.8477,-22.748,NA,-25.2791,NA,NA,NA,NA,-23.834,-23.0239,NA,NA,-24.5598,-24.8466,-23.4314
"sp|P20435|RPAB2_YEAST","ATP synthase subunit gamma, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=ATP3 PE=1 SV=1",-21.3577,NA,NA,NA,NA,NA,-21.9775,NA,NA,-21.7743,-20.5272,NA,-21.8562,-21.3906,NA,-20.8136,NA,NA,NA,NA,-21.6071,NA,NA,NA,-21.6962,-21.3896,NA
"sp|P20459|IF2A_YEAST","D-arabinose dehydrogenase [NAD(P)+] heavy chain OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=ARA1 PE=1 SV=1",-19.0945,-19.7869,-21.0157,-19.9316,-19.4838,-19.9943,-20.0376,-19.8645,-19.905,-20.1603,-19.0574,-21.4184,-19.3562,-20.4524,-19.4384,-18.8932,-19.597,-20.4878,-19.9224,-21.9996,-19.184,-20.2662,-19.5109,-18.901,-19.9862,-20.2386,-20.5291
"sp|P20606|SAR1_YEAST","Peroxisomal-coenzyme A synthetase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=PCS60 PE=1 SV=1",-18.4052,-19.0696,-18.6265,-19.3234,-21.9608,-20.7104,-17.7706,-18.9593,-18.7219,-20.4365,-18.8258,-18.337,-18.0671,-19.4522,-18.5773,-19.7476,-19.7707,-18.8129,-18.2888,-18.5527,-18.0855,-17.7887,-19.6091,-18.9573,-24.7638,-20.216,NA
"sp|P20967|ODO1_YEAST","Autophagy-related protein 8 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=ATG8 PE=1 SV=1",-19.2553,-19.7241,-19.1613,-19.0944,-19.001,-19.39,-19.2289,-19.9307,-18.8918,-19.6289,-19.0847,-19.6802,-18.8057,-18.9759,-18.8646,-19.1794,-19.4602,-18.8857,-19.4453,-19.1623,-19.8615,-19.5196,-18.858,-19.9835,-18.9988,-19.9844,-19.3289
"sp|P21243|PSA1_YEAST","Multisite-specific tRNA:(cytosine-C(5))-methyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=NCL1 PE=1 SV=1",-20.881,-20.724,-20.5961,-20.105,-19.7362,-19.2253,-20.6193,-20.7141,-20.8183,-20.8804,-19.9107,-20.5899,-21.6889,-19.4621,-20.7321,-20.278,-21.1313,-19.7975,-20.7575,-20.5797,-20.7677,-19.8981,-20.1022,-19.9657,-20.1312,-20.8247,-21.0523
"sp|P21576|VPS1_YEAST","Obg-like ATPase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=OLA1 PE=1 SV=1",-21.3395,-20.9683,-20.4884,-21.4602,-21.1641,-20.7528,-21.4157,-21.5313,-21.4131,-21.8488,-20.4327,-20.8602,-21.481,-20.6708,-21.7456,-21.5535,-21.7784,-21.4083,-21.8958,-22.462,-21.1907,-21.6253,-21.4297,-20.7735,-20.4676,-21.6151,-21.2018
"sp|P21623|DIT1_YEAST","Eukaryotic translation initiation factor 3 subunit A OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RPG1 PE=1 SV=1",-23.9609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P21734|UBC1_YEAST","Actin-related protein 2\3 complex subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=ARC40 PE=1 SV=1",-23.0057,NA,NA,NA,NA,NA,NA,-21.37,-22.3963,NA,NA,-22.5651,-22.0285,NA,-21.5036,NA,NA,NA,NA,-22.5379,-22.4513,NA,NA,NA,NA,NA,NA
"sp|P21827|RCC1_YEAST","Trehalose synthase complex regulatory subunit TPS3 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=TPS3 PE=1 SV=3",-25.6535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.5381,NA
"sp|P21954|IDHP_YEAST","Eukaryotic translation initiation factor 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=TIF5 PE=1 SV=1",-18.1379,-18.4888,-18.0699,-18.3288,-18.165,-18.4975,-17.8702,-17.8429,-17.5249,-18.0406,-18.4176,-18.0863,-17.7732,-18.0938,-18.3113,-18.4237,-17.5647,-17.9863,-18.4399,-17.5882,-18.3717,-18.5938,-18.7838,-18.5209,-17.4741,-19.3483,-18.8412
"sp|P22133|MDHC_YEAST","GMP synthase [glutamine-hydrolyzing] OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=GUA1 PE=1 SV=4",-19.7323,-18.2364,-18.7505,-19.1303,-18.6029,-19.9182,-19.1797,-19.3089,-19.9253,-19.4659,-19.0873,-18.9434,-19.0585,-18.7536,-18.5979,-18.8655,-18.3416,-18.6449,-19.1212,-20.115,-18.6756,-19.2117,-19.2904,-18.3551,-19.956,-21.7996,-19.6542
"sp|P22137|CLH_YEAST","Phosphoacetylglucosamine mutase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=PCM1 PE=1 SV=2",-20.7412,-21.0119,-20.012,-20.1893,-20.5234,-20.2812,-20.7648,-20.2227,-20.6451,-20.7021,-20.7084,-20.1989,-20.575,-20.6182,-20.0764,-20.6374,-20.1666,-20.0124,-20.8369,-20.8484,-20.9752,-20.245,-20.2232,-20.6374,-20.1574,-20.7854,-20.4874
"sp|P22141|PSB4_YEAST","40S ribosomal protein S20 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RPS20 PE=1 SV=3",-19.9522,-20.0256,-21.2657,-21.0571,-20.319,-20.4967,-19.9317,NA,-20.0858,NA,NA,-20.8065,-21.4101,-21.9713,-20.2664,-20.0372,-21.6651,-20.491,NA,-21.2002,-20.9967,-19.6583,-20.1402,-20.4377,NA,-21.941,-20.6488
"sp|P22146|GAS1_YEAST","Asparagine--tRNA ligase, cytoplasmic OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=DED81 PE=1 SV=1",-20.2326,-20.6839,-19.7786,-20.1338,-20.6403,-20.1355,-21.6672,-20.8839,-19.9832,-19.8407,-20.0016,-19.8248,-20.0108,-20.2809,-20.4992,-20.5081,-21.0057,-20.6933,-20.6466,-19.9963,-19.9425,-19.7856,-21.3966,-20.579,-21.595,-20.6452,-20.76
"sp|P22202|HSP74_YEAST","Putative proline--tRNA ligase YHR020W OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=YHR020W PE=1 SV=1",-22.2907,NA,NA,-19.8083,-19.4869,-19.982,NA,-23.0878,-21.918,-22.1628,-23.4343,-23.2945,-20.6512,-20.8104,-21.3571,NA,-26.0621,-25.9909,-23.1211,-22.2004,-23.3254,-20.8979,-20.3999,-20.6384,-22.5858,-21.5727,-22.6618
"sp|P22203|VATE_YEAST","NADPH-dependent aldose reductase GRE3 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=GRE3 PE=1 SV=1",-17.6069,-18.339,-18.5091,-18.9912,-18.9466,-19.4891,-17.823,-18.4594,-17.7877,-17.8233,-18.1988,-17.7939,-18.0623,-18.894,-19.6771,-20.0234,-19.2259,-21.2145,-17.2865,-17.4968,-17.7992,-17.7794,-18.7744,-20.7296,-17.3669,-18.7127,-19.1038
"sp|P22217|TRX1_YEAST","26S proteasome regulatory subunit RPN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RPN1 PE=1 SV=3",-17.2749,-17.8164,-17.4549,-17.1512,-16.7928,-19.6156,-17.5681,-17.1287,-18.0645,-18.5261,-18.1136,-17.1527,-18.0027,-18.0079,-17.6099,-17.4958,-18.8666,-18.3614,-17.1464,-17.5215,-16.7688,-17.2956,-17.3085,-18.2625,-17.263,-17.3054,-18.6425
"sp|P22336|RFA1_YEAST","Uncharacterized isomerase YHI9 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=YHI9 PE=1 SV=1",-25.0834,NA,-24.8081,NA,NA,-25.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-25.8494,NA,-23.9735,NA,NA,NA
"sp|P22353|RM08_YEAST","Ribosome-associated complex subunit SSZ1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=SSZ1 PE=1 SV=2",-21.7947,NA,-20.9564,-20.7999,-21.0083,-20.4697,-20.6188,-19.9953,-20.1924,-19.2513,-20.6677,-19.8491,-20.9255,-21.7298,-20.0159,-19.853,NA,NA,-21.4585,-19.3918,-20.1735,NA,-21.7219,-20.678,-21.3145,-19.6668,NA
"sp|P22515|UBA1_YEAST","Restriction of telomere capping protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RTC3 PE=1 SV=1",-21.2465,-20.6411,-21.1956,-19.9788,-20.3314,-20.9445,-20.8237,-19.5777,-20.5499,-20.3253,-20.524,-20.4571,-20.9769,-20.621,-20.5463,-20.2209,-20.8711,-21.9003,-20.5586,-20.5844,-21.1043,-19.9138,-20.6863,-20.3573,-20.0951,-19.7331,-20.3645
"sp|P22517|KCC2_YEAST","Aromatic amino acid aminotransferase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=ARO9 PE=1 SV=3",-24.1492,NA,NA,NA,NA,NA,NA,-23.3227,NA,NA,-24.3829,NA,NA,NA,NA,NA,NA,NA,-24.3356,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P22768|ASSY_YEAST","Cruciform DNA-recognizing protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=CRP1 PE=1 SV=1",-19.1,-19.033,-18.9216,-18.5546,-18.6791,-18.8197,-18.8675,-19.3866,-19.7503,-18.4609,-19.0782,-19.0042,-19.3074,-19.5928,-18.2747,-18.7947,-18.8771,-19.0962,-18.7851,-18.8687,-18.58,-18.8258,-18.9027,-19.4581,-18.2608,-19.3334,-19.7107
"sp|P22803|TRX2_YEAST","Nascent polypeptide-associated complex subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=EGD2 PE=1 SV=3",-16.5868,-17.0691,-16.8366,-16.9604,-17.7961,-18.1709,-17.6293,-16.7022,-16.5247,-16.594,-16.8343,-16.598,-16.494,-17.3416,-18.4361,-19.6752,-16.8595,-17.0813,-16.548,-17.5408,-17.1053,-17.4119,-17.9201,-18.3041,-17.0215,-16.2986,-16.8293
"sp|P22943|HSP12_YEAST","Branched-chain-amino-acid aminotransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=BAT1 PE=1 SV=1",-14.3361,-14.5425,-14.6195,-14.7998,-14.8455,-14.8026,-14.8869,-14.5626,-15.2712,-14.915,-14.9428,-14.6969,-14.9938,-14.6488,-14.8806,-15.8824,-15.8635,-15.7537,-14.5511,-14.695,-14.9627,-14.4836,-14.7462,-14.2646,-15.8747,-15.5453,-15.1025
"sp|P23180|AIM17_YEAST","10 kDa heat shock protein, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=HSP10 PE=1 SV=1",-22.2764,-22.1519,-21.7379,-22.1174,NA,-21.7317,-21.4623,-23.0498,-21.294,-22.2139,-21.9573,-22.7035,-20.2191,-22.0577,-21.2368,-21.3301,NA,NA,-22.9162,-22.3278,-21.5458,-21.5392,-21.1426,-21.8965,-20.0302,-20.3133,-20.3531
"sp|P23248|RS3A2_YEAST","FK506-binding nuclear protein OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=FPR3 PE=1 SV=2",-21.7431,-20.259,-21.5321,-21.1795,-20.5562,-21.5862,-20.5046,NA,-20.8438,-21.1677,-20.6653,NA,-22.3071,-21.6167,-21.6464,-21.6495,-22.4125,-21.1269,-21.0455,-21.2225,-20.4265,-21.2048,-21.0657,-19.7276,-18.6037,-20.4089,-19.7539
"sp|P23254|TKT1_YEAST","Eukaryotic translation initiation factor 1A OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=TIF11 PE=1 SV=1",-16.5419,-16.7266,-16.7581,-16.684,-17.1121,-16.7375,-16.4597,-16.2524,-16.4398,-16.1059,-16.2834,-16.5457,-16.9088,-16.6727,-16.6839,-16.3754,-16.2831,-16.9429,-16.4022,-16.5125,-16.5685,-16.9554,-16.8189,-16.5933,-17.2972,-16.7656,-17.1777
"sp|P23301|IF5A1_YEAST","Nuclear segregation protein BFR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=BFR1 PE=1 SV=1",-15.4913,-15.6843,-15.4588,-14.9311,-15.3456,-14.9858,-15.5534,-15.8265,-15.2052,-15.6723,-15.6944,-15.7858,-15.189,-14.971,-15.129,-15.9669,-15.4491,-15.6649,-15.1865,-15.1357,-15.113,-15.2289,-15.0776,-15.1079,-15.2002,-15.1842,-14.9677
"sp|P23542|AATC_YEAST","Phosphoribosylformylglycinamidine synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=ADE6 PE=1 SV=2",-17.4644,-18.7702,-17.5526,-18.7879,-18.727,-17.7008,-17.8473,-17.5269,-18.0548,-17.8965,-17.8524,-17.7932,-18.6983,-19.1848,-18.4337,-18.4201,-17.9786,-17.8574,-17.754,-17.6408,-18.2144,-18.2347,-18.0545,-18.5606,-17.803,-18.584,-17.7151
"sp|P23641|MPCP_YEAST","Saccharopine dehydrogenase [NADP(+), L-glutamate-forming] OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=LYS9 PE=1 SV=1",-18.5061,-18.8511,-18.8985,-19.5619,-19.0848,-18.5224,-19.6034,-19.1824,-20.3634,-18.7044,-18.5694,-18.609,-18.5784,-18.9676,-19.0521,-19.0179,-19.2952,-19.1537,-18.8916,-19.1364,-19.1777,-20.1107,-18.9332,-18.9257,-18.8721,-18.8042,-19.5801
"sp|P23776|EXG1_YEAST","Suppressor protein STM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=STM1 PE=1 SV=3",-21.8415,-23.5115,-22.4643,-21.516,-22.6498,-22.5323,-24.0661,-22.4203,-21.669,-21.944,-22.7535,-22.2645,-22.5476,-24.1525,-22.4052,-21.8346,-22.4331,-22.0662,-22.592,-22.4171,-21.6848,-21.911,-22.5741,-23.4588,-20.8657,-20.8363,-23.0264
"sp|P24280|SEC14_YEAST","Dihydroxy-acid dehydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=ILV3 PE=1 SV=2",-18.8918,-19.2394,-18.8411,-20.7148,-20.0407,-19.5922,-19.1544,-18.5722,-19.7285,-18.5394,-18.3107,-19.0629,-18.6969,-19.3899,-20.082,-19.5985,-19.6653,-19.4208,-18.7374,-18.5835,-19.0043,-19.282,-19.6406,-19.4892,-20.4029,-19.493,-18.2228
"sp|P24783|DBP2_YEAST","Homocitrate dehydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=ACO2 PE=1 SV=1",-25.468,-25.128,NA,NA,-25.1386,NA,NA,NA,NA,NA,-25.3634,-23.9783,NA,NA,NA,NA,-25.231,NA,-25.2817,NA,NA,NA,-25.3808,NA,NA,-25.161,NA
"sp|P24814|GRR1_YEAST","Flavohemoprotein OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=YHB1 PE=1 SV=2",-26.4333,-23.7876,-24.8686,NA,-26.5938,-23.9,-24.9639,NA,NA,-24.9266,-25.2934,NA,-26.6073,NA,-26.94,NA,NA,NA,NA,-24.8576,-24.837,NA,NA,-26.9505,-25.6516,-25.5018,-25.1295
"sp|P25087|ERG6_YEAST","Nicotinate phosphoribosyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=NPT1 PE=1 SV=3",-19.9417,-20.3921,-19.5287,-19.4656,-19.1361,-19.7998,-20.5076,-20.2353,-20.1906,-20.376,-21.7028,-20.6335,-19.138,-20.1705,-20.106,-19.7869,-20.1849,-19.7639,-19.6334,-20.1625,-20.2779,-19.7292,-19.9207,-19.3571,-18.546,-19.5902,-20.8903
"sp|P25293|NAP1_YEAST","NADP-specific glutamate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=GDH3 PE=3 SV=1",-20.7912,-21.3023,-21.7499,-22.2862,-22.1078,-21.9893,NA,-20.9892,-21.249,-21.2644,-23.4869,-21.2739,NA,-23.1028,-22.4672,-23.0236,-22.4444,-22.6528,-20.1866,-21.0856,-21.0368,-22.5866,-23.6157,-22.4175,NA,-21.6943,-21.1123
"sp|P25294|SIS1_YEAST","Eukaryotic translation initiation factor 5B OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=FUN12 PE=1 SV=2",-20.0967,-20.382,-20.4852,-19.8572,-19.8778,-19.3826,-21.8699,-18.9518,-19.4654,-19.294,-20.0748,-20.126,-20.4547,-19.8199,-19.928,-20.331,-21.797,-20.4559,-19.2045,-20.1124,-21.607,-20.4455,-20.081,-19.7636,-19.6418,-19.1984,-19.9275
"sp|P25343|RV161_YEAST","Eukaryotic initiation factor 4F subunit p150 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=TIF4631 PE=1 SV=2",-22.1112,NA,NA,-21.6267,-21.5968,NA,-22.0237,NA,NA,NA,-22.5739,NA,NA,NA,NA,NA,-22.3052,-20.447,NA,NA,NA,-22.0031,NA,NA,-21.8936,-19.462,-20.2632
"sp|P25349|YCP4_YEAST","40S ribosomal protein S26-A OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RPS26A PE=1 SV=1",-20.1677,-20.5365,-20.6025,NA,-20.0924,-21.2161,NA,-21.2379,-21.3716,-19.6942,-19.493,NA,-20.3337,-20.2389,NA,NA,NA,NA,-20.0961,-21.6513,-20.3394,NA,NA,NA,NA,-20.9754,NA
"sp|P25357|SNT1_YEAST","Adenosylhomocysteinase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=SAH1 PE=1 SV=1",-25.8662,-26.1261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-24.9964,-25.3531,NA,NA,NA,-26.9855,NA,NA,-25.5557,-24.3275,NA,-24.4562,NA,NA,-25.4228
"sp|P25369|LSB5_YEAST","13 kDa ribonucleoprotein-associated protein OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=SNU13 PE=1 SV=1",-27.838,NA,NA,-27.8593,NA,NA,NA,NA,NA,NA,NA,-28.305,-26.9024,-27.426,-26.8456,NA,-27.7905,NA,NA,NA,NA,-26.9755,NA,NA,NA,NA,NA
"sp|P25373|GLRX1_YEAST","26S proteasome regulatory subunit RPN3 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RPN3 PE=1 SV=5",-18.1762,-17.1929,-16.6804,-16.1282,-15.7658,-15.8189,-18.1996,-18.9074,NA,-17.9074,-18.0221,-17.346,-16.7653,-16.4983,-16.6606,-15.9689,-16.2583,-16.0874,-18.5878,-20.1503,-20.3346,-16.4663,-16.5666,-17.0698,-15.5829,-15.7664,-15.2626
"sp|P25386|USO1_YEAST","Respiratory growth induced protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RGI1 PE=1 SV=1",-24.6981,NA,-24.1654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.4318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.7069,NA
"sp|P25443|RS2_YEAST","Importin subunit beta-4 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=KAP123 PE=1 SV=1",-16.1287,-16.3799,-16.6171,-15.8624,-15.497,-16.1221,-16.7752,-18.3493,-17.9804,-17.1779,-16.3234,-15.6281,-16.1663,-17.9197,-16.8581,-16.1669,-17.058,-16.2721,-16.5824,-15.9042,-15.9522,-16.3698,-17.5389,-15.8314,-18.157,-17.4181,-16.1189
"sp|P25451|PSB3_YEAST","Vesicle-associated membrane protein-associated protein SCS2 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=SCS2 PE=1 SV=3",-20.9566,NA,-21.1848,-20.7866,NA,-21.0898,-20.4598,NA,-21.4548,-21.7174,-20.8879,-20.4348,-21.1298,-20.9729,NA,NA,NA,-21.1342,-22.2876,NA,NA,-21.2029,-21.645,NA,NA,NA,NA
"sp|P25491|MAS5_YEAST","DNA damage-inducible protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=DDI1 PE=1 SV=1",-19.1859,-19.9295,-20.0964,-19.4217,-19.4433,-20.0118,-19.6104,-19.5168,-21.1548,-19.5698,-21.0873,-20.105,-19.6877,-19.5678,-19.6046,-19.093,-18.798,-19.7625,-19.3224,-20.6116,-20.1835,-19.5998,-20.2317,-19.7372,-21.4224,-19.9219,-19.713
"sp|P25569|GID7_YEAST","Protein MMF1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=MMF1 PE=1 SV=1",-22.9221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.9571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.2688
"sp|P25588|MRC1_YEAST","Proteasome subunit alpha type-4 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=PRE6 PE=1 SV=1",-23.2376,NA,NA,NA,NA,NA,NA,NA,NA,-24.8651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P25596|GEX1_YEAST","Homoisocitrate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=LYS12 PE=1 SV=1",-24.9859,-21.759,-22.2593,NA,NA,NA,-23.0516,NA,-23.2447,NA,NA,NA,-23.4241,-25.4431,NA,NA,NA,-22.2072,NA,-22.7306,-22.2896,NA,-25.9781,NA,NA,-25.0757,NA
"sp|P25605|ILV6_YEAST","Actin-related protein 2\3 complex subunit 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=ARC15 PE=1 SV=1",-18.8591,-19.0918,-19.2508,-18.8211,-18.7507,-18.496,-19.0959,-21.3913,-19.337,-18.9626,-19.1139,-19.1062,-18.6619,-19.0162,-18.8557,-19.5223,-19.2449,-19.0315,-19.196,-19.032,-18.4222,-19.3249,-18.6412,-18.1489,-18.4142,-19.1694,-19.7985
"sp|P25623|SYP1_YEAST","Protein GVP36 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=GVP36 PE=1 SV=1",-23.0541,-24.7818,-22.8174,-23.7654,-24.8518,-23.0179,NA,NA,NA,NA,-24.7523,-24.7062,-23.7447,-23.7974,NA,-24.3639,-24.5155,NA,-24.9734,-24.538,-23.1781,-23.0415,-22.4205,-23.9821,-22.7242,NA,NA
"sp|P25646|PDP2_YEAST","Alanine--tRNA ligase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=ALA1 PE=1 SV=3",-24.5131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P25694|CDC48_YEAST","40S ribosomal protein S29-A OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RPS29A PE=1 SV=3",-18.1824,-18.1046,-18.4055,-18.7318,-18.8638,-18.9426,-18.689,-18.403,-18.3876,-18.0891,-18.4086,-18.607,-18.7122,-18.8294,-18.9638,-18.788,-19.2165,-18.3986,-18.2525,-18.4833,-18.4849,-18.9493,-19.3022,-19.0083,-19.5423,-20.1092,-18.8809
"sp|P25719|CYPC_YEAST","Leptin (Chain 22-167) - Homo sapiens (Human)",-17.1045,-17.3868,-18.354,-18.4887,-18.3149,-18.7275,-18.0838,-18.4343,-17.164,-18.0541,-17.6406,-17.6396,-17.5092,-17.2574,-16.9632,-18.0631,-17.7089,-17.4707,-18.8099,-19.6619,-17.2345,-17.5406,-16.9532,-17.2158,-18.4265,-18.038,-17.6352
"sp|P26309|CDC20_YEAST","Glycerol-1-phosphate phosphohydrolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=GPP1 PE=1 SV=3",-23.1384,-23.0441,NA,-22.7735,-23.9042,-23.7906,NA,NA,NA,-22.6098,NA,-22.3598,-23.5,-22.2181,-24.7634,-22.7871,NA,-24.3668,-23.2844,NA,NA,-22.6413,-22.6803,-23.9514,-22.8389,-22.8104,-24.1019
"sp|P26321|RL5_YEAST","Acetyl-CoA acetyltransferase OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=ERG10 PE=1 SV=3",-15.7824,-16.708,-17.0343,-17.4721,-16.7564,-16.441,-15.5043,-15.8477,-16.3741,-16.2678,-17.2425,-16.0445,-16.5204,-16.4414,-15.7868,-16.075,-16.3885,-16.4767,-16.7901,-16.2674,-16.5671,-16.772,-16.2958,-16.5525,-16.6756,-16.2458,-16.6482
"sp|P26637|SYLC_YEAST","60S ribosomal protein L10 OS=Saccharomyces cerevisiae (strain ATCC 204508 \ S288c) OX=559292 GN=RPL10 PE=1 SV=1",-19.8076,-19.1009,-18.7545,-18.7394,-18.716,-18.907,-19.6848,-19.1192,-19.4022,-19.2736,-19.7179,-19.812,-19.4976,-18.8012,-19.1275,-18.9581,-19.0688,-19.2106,-19.6512,-19.3515,-19.6162,-19.4382,-19.0448,-19.318,-18.3447,-18.5105,-18.6332
